titulo,preco,preco_antigo,marca,tamanho,imagem,url,likes,tag,anomesdia_particao,categoria
chapinha britania bpr03a bivolt,R$ 100,R$ 100,britania,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8yNzgwNzkyOS83NDVlOGI1MWU0OTExNTc2YjM3NDk1MDk3ZDM5MjA4MS5qcGc,https://www.enjoei.com.br/p/chapinha-britania-bpr03a-bivolt-145056238?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=23&rspix=19,0,10%,20260710,eletronicos
"apple macbook air m1 2020 13"" 8 gb ram 256 gb ssd",R$ 4.000,,apple,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8yODcyOTQzOC9iOGMyNzYxNTI4OGQ4NDE4MzRlZTFkNWU4NDFlNjcxNy5qcGc,https://www.enjoei.com.br/p/apple-macbook-air-m1-2020-13-8-gb-ram-256-gb-ssd-144220530?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=23&rspix=20,7,,20260710,eletronicos
grip para iphone pgytech preto,R$ 159,R$ 159,pgytech,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy83ODk4MTUvYjg1NzExYTRjNTkxZTQzZjFmMjFlZmY1M2UyNWJhNzUuanBn,https://www.enjoei.com.br/p/grip-para-iphone-pgytech-preto-142811423?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=23&rspix=21,2,23%,20260710,eletronicos
video game dynavision xtreme,R$ 148,R$ 148,dynacom s,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MTE0MjY1OS9lNGUyMGM2MDlhZWIwMzcwYWNkMDBkYjlmNTk5Mzc1MC5qcGc,https://www.enjoei.com.br/p/video-game-dynavision-xtreme-141245901?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=23&rspix=22,7,13%,20260710,eletronicos
jogo outlast trinity ps4,R$ 110,,red barrels,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MjUwMjk5NS8zMWI0Mzc4ZDI1NjRkMTQzNzI0ZDE0OTE3NGM3NzhlYy5qcGc,https://www.enjoei.com.br/p/jogo-outlast-trinity-ps4-146163094?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=23&rspix=23,4,,20260710,eletronicos
jogo fifa 18 ps4,R$ 100,R$ 100,ea sportss,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MTE0NDI3NS8zMGExNzFkYTQ0NmExYzJiZTYzN2IyNzUwNmU2N2E3ZC5qcGc,https://www.enjoei.com.br/p/jogo-fifa-18-ps4-145405549?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=23&rspix=24,0,10%,20260710,eletronicos
câmera wifi moes smart câmera de segurança,R$ 150,R$ 150,moes,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8yMTIzODEyNC8wNTI3YmYzZDJiNGI3MzRmYTE0NjY4YWJhYmYzMjcxZC5qcGc,https://www.enjoei.com.br/p/camera-wifi-moes-smart-camera-de-seguranca-145111463?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=23&rspix=25,0,13%,20260710,eletronicos
carcaça de playstation 1 sony,R$ 108,R$ 108,sonyy,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MTE0MjY1OS8yYzYxMGIyOTRmOTFjOTQ0ZTI2MWRiYjk1YTU3MWY0OS5qcGc,https://www.enjoei.com.br/p/carcaca-de-playstation-1-sony-143955369?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=23&rspix=26,0,16%,20260710,eletronicos
"kindle 11ª geração 13,37 gb",R$ 600,R$ 600,amazon.,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8xNDcxOTcwNy9mZGQzYmFmZmJjMDRkMDNlZTY5YTU0Mjc0ZGViNjYwZC5qcGc,https://www.enjoei.com.br/p/kindle-11-geracao-13-37-gb-143903139?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=23&rspix=27,1,8%,20260710,eletronicos
cabo usb-c para lightning apple 1m,R$ 90,R$ 90,apple,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8xNzI1MzMwMy9iMDA5ZWI4YzkzN2VmMTg3Mjk4ZDA0ODNlYjVlOGE2OC5qcGc,https://www.enjoei.com.br/p/cabo-usb-c-para-lightning-apple-1m-143312301?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=23&rspix=28,1,30%,20260710,eletronicos
