preco,preco_antigo,marca,likes,anomesdia_particao,categoria,fl_item_ativo
70,70,hair curler,4,20260709,Eletrônicos,1.0
420,0,nintendo,6,20260709,Eletrônicos,1.0
300,300,kodak,4,20260709,Eletrônicos,1.0
100,100,gamee,0,20260709,Eletrônicos,1.0
68,68,gamee,0,20260709,Eletrônicos,1.0
70,70,"nintendo wii,",0,20260709,Eletrônicos,1.0
88,88,game an,0,20260709,Eletrônicos,1.0
500,500,mário,0,20260709,Eletrônicos,1.0
420,0,nintendo,3,20260709,Eletrônicos,1.0
2100,0,apple,0,20260709,Eletrônicos,1.0
3500,0,samsung,1,20260709,Eletrônicos,1.0
399,399,game & watch,1,20260709,Eletrônicos,1.0
1600,0,xbox one,0,20260709,Eletrônicos,0.0
580,0,epson,0,20260709,Eletrônicos,1.0
35,0,nks,0,20260709,Eletrônicos,1.0
1100,1100,alur medical,6,20260709,Eletrônicos,0.0
50,0,sem  marca,0,20260709,Eletrônicos,1.0
149,0,sony,2,20260709,Eletrônicos,1.0
120,0,sem  marca,3,20260709,Eletrônicos,1.0
950,950,nintendo,6,20260709,Eletrônicos,1.0
3500,0,canon,1,20260709,Eletrônicos,0.0
80,80,nintendo,0,20260709,Eletrônicos,1.0
349,0,nintendo,2,20260709,Eletrônicos,1.0
499,0,dji,1,20260709,Eletrônicos,1.0
55,0,tapper,2,20260709,Eletrônicos,1.0
500,500,samsung,3,20260709,Eletrônicos,1.0
80,80,nintendo,0,20260709,Eletrônicos,1.0
110,0,sega,0,20260709,Eletrônicos,1.0
50,0,wineskin,0,20260709,Eletrônicos,1.0
250,250,dell,0,20260709,Eletrônicos,1.0
100,100,samsung,1,20260709,Eletrônicos,1.0
500,500,garmin,2,20260709,Eletrônicos,1.0
80,0,lego,0,20260709,Eletrônicos,1.0
1220,1220,sony,6,20260709,Eletrônicos,0.0
1200,1200,olympus,2,20260709,Eletrônicos,0.0
500,500,nintendo,8,20260709,Eletrônicos,1.0
80,80,quartz .,4,20260709,Eletrônicos,1.0
3000,0,apple,0,20260709,Eletrônicos,1.0
260,260,motorola,5,20260709,Eletrônicos,1.0
282,0,olympus,3,20260709,Eletrônicos,1.0
250,250,yashica,1,20260709,Eletrônicos,1.0
320,320,sony,0,20260709,Eletrônicos,1.0
450,450,kodak,2,20260709,Eletrônicos,0.0
1300,0,apple,0,20260709,Eletrônicos,1.0
2300,0,nintendo,2,20260709,Eletrônicos,1.0
90,90,sem  marca,0,20260709,Eletrônicos,1.0
89,0,apple,0,20260709,Eletrônicos,1.0
350,0,eletrônicos,6,20260709,Eletrônicos,1.0
500,500,nintendo,7,20260709,Eletrônicos,1.0
50,0,arte sedução,0,20260709,Eletrônicos,1.0
35,0,sem  marca,0,20260709,Eletrônicos,1.0
90,90,salon line.,5,20260709,Eletrônicos,1.0
1300,0,garmin,1,20260709,Eletrônicos,1.0
60,0,lego,1,20260709,Eletrônicos,1.0
230,230,taiff,0,20260709,Eletrônicos,1.0
4500,4500,casio,7,20260709,Eletrônicos,1.0
1200,0,apple,0,20260709,Eletrônicos,1.0
249,249,kodak,6,20260709,Eletrônicos,1.0
23,23,artesanal,1,20260710,eletronicos,1.0
23,23,artesanal,1,20260710,eletronicos,1.0
700,0,nikon,5,20260710,eletronicos,1.0
179,0,altomex,1,20260710,eletronicos,1.0
200,0,nintendo,0,20260710,eletronicos,1.0
23,23,artesanal,1,20260710,eletronicos,1.0
500,500,targus,1,20260710,eletronicos,1.0
80,80,sem  marca,0,20260710,eletronicos,1.0
